q1,q2,q3,q4,q5,mis1,mis2,mis3,mis4,mis5,sample
7.019,5.234,5.896,8.045,6.709,0.168,0.334,0.292,0.070,0.016,mod
7.051,8.040,6.107,7.711,6.207,0.415,0.044,0.366,0.100,0.280,mod
4.255,4.196,5.110,6.806,8.624,0.466,0.277,0.024,0.029,0.024,mod
8.298,10.603,8.489,6.797,7.148,0.157,0.090,0.168,0.081,0.083,mod
9.185,10.272,11.160,5.400,5.573,0.158,0.076,0.066,0.146,0.390,mod
12.145,10.896,6.813,7.848,9.595,0.062,0.114,0.258,0.307,0.060,mod
8.942,10.031,9.645,6.581,7.176,0.070,0.028,0.022,0.157,0.105,mod
12.068,11.711,9.645,10.331,6.327,0.018,0.090,0.030,0.010,0.058,mod
10.669,6.186,6.151,6.565,7.905,0.112,0.050,0.159,0.041,0.105,mod
8.084,8.741,7.630,7.777,9.833,0.285,0.164,0.145,0.150,0.147,mod
7.443,5.415,5.901,4.948,6.471,0.162,0.016,0.079,0.120,0.096,mod
7.013,6.513,5.597,8.824,14.236,0.000,0.026,0.000,0.000,0.000,mod
10.776,12.398,20.976,14.263,9.148,0.246,0.040,0.003,0.021,0.007,mod
10.601,18.428,14.812,7.071,7.473,0.079,0.017,0.014,0.021,0.034,mod
8.296,7.598,8.424,7.666,11.640,0.020,0.091,0.007,0.057,0.046,mod
14.877,12.527,8.883,13.455,15.679,0.057,0.085,0.131,0.039,0.026,mod
8.257,8.743,11.141,15.552,13.240,0.152,0.073,0.057,0.017,0.021,mod
8.150,4.827,8.264,9.603,5.124,0.178,0.163,0.027,0.015,0.028,mod
13.876,15.027,16.412,19.211,14.859,0.062,0.092,0.062,0.038,0.029,mod
7.787,9.192,7.432,9.842,16.648,0.236,0.342,0.453,0.251,0.018,mod
6.180,6.966,8.608,9.196,9.646,0.120,0.133,0.123,0.108,0.130,mod
9.299,9.769,9.874,11.831,9.266,0.006,0.067,0.220,0.168,0.022,mod
7.914,7.499,7.823,10.466,10.896,0.191,0.008,0.010,0.066,0.008,mod
10.534,10.129,13.868,11.136,7.406,0.045,0.142,0.060,0.033,0.545,mod
12.858,5.862,7.912,5.842,5.930,0.201,0.173,0.008,0.119,0.420,mod
7.998,7.483,10.709,11.594,17.367,0.063,0.103,0.004,0.040,0.023,mod
8.082,7.275,7.645,9.923,11.201,0.053,0.527,0.437,0.043,0.135,mod
8.257,8.634,5.171,5.219,4.683,0.124,0.155,0.092,0.302,0.454,mod
7.525,9.184,6.030,6.151,5.469,0.280,0.052,0.228,0.118,0.275,mod
8.314,9.315,8.146,7.807,5.077,0.150,0.003,0.008,0.013,0.244,mod
10.270,9.041,10.097,6.237,8.155,0.018,0.052,0.034,0.041,0.045,mod
9.205,6.173,9.242,11.598,6.580,0.365,0.084,0.011,0.005,0.022,mod
13.145,16.479,11.098,11.540,8.273,0.012,0.016,0.457,0.018,0.045,mod
5.985,6.243,5.670,6.033,5.328,0.029,0.024,0.131,0.024,0.023,mod
7.016,6.120,7.592,7.060,6.646,0.098,0.288,0.190,0.234,0.396,mod
7.311,6.183,7.738,7.097,6.507,0.173,0.150,0.289,0.141,0.234,mod
13.151,9.425,9.226,10.221,9.479,0.008,0.023,0.133,0.023,0.164,mod
7.317,6.889,7.548,7.930,9.772,0.084,0.118,0.262,0.185,0.064,mod
9.585,12.449,9.223,8.782,9.511,0.291,0.104,0.146,0.027,0.047,mod
7.535,6.774,6.778,7.352,6.501,0.207,0.330,0.183,0.158,0.029,mod
9.439,8.320,9.866,8.586,5.876,0.018,0.302,0.034,0.079,0.072,mod
11.713,8.266,9.849,13.932,12.451,0.068,0.051,0.110,0.061,0.246,mod
7.265,8.524,6.133,7.338,6.796,0.125,0.032,0.334,0.270,0.041,mod
10.850,9.924,5.421,4.965,9.019,0.080,0.076,0.019,0.115,0.018,mod
11.174,7.711,9.112,9.769,8.044,0.093,0.314,0.044,0.041,0.083,mod
6.781,6.126,6.365,8.618,9.987,0.071,0.650,0.501,0.454,0.149,mod
11.255,6.936,8.076,7.000,7.216,0.095,0.106,0.066,0.274,0.336,mod
10.755,14.276,10.268,7.270,8.557,0.083,0.026,0.102,0.136,0.128,mod
4.121,7.025,8.001,5.324,10.326,0.279,0.159,0.048,0.722,0.815,mod
6.925,9.450,10.690,7.791,7.028,0.161,0.047,0.020,0.289,0.183,mod
7.146,8.242,7.412,11.351,12.004,0.106,0.009,0.139,0.027,0.025,mod
7.588,8.110,6.849,9.370,9.120,0.343,0.186,0.285,0.053,0.105,mod
7.892,9.037,8.726,9.168,7.498,0.150,0.236,0.477,0.384,0.067,mod
7.761,8.305,9.432,11.255,6.936,0.052,0.297,0.038,0.095,0.106,mod
8.893,10.894,8.902,9.477,7.597,0.202,0.015,0.069,0.031,0.046,mod
6.874,6.808,6.293,7.719,5.528,0.065,0.093,0.088,0.078,0.286,mod
9.425,9.226,10.221,9.479,8.957,0.023,0.133,0.023,0.164,0.463,mod
8.976,7.672,7.128,6.699,7.042,0.072,0.219,0.170,0.442,0.099,mod
8.141,8.291,11.771,8.611,8.409,0.015,0.413,0.026,0.295,0.257,mod
8.500,9.500,11.000,7.333,6.333,0.250,0.000,0.000,0.667,0.000,mod
7.042,7.526,6.890,7.179,6.990,0.155,0.057,0.137,0.153,0.501,mod
8.558,6.279,4.568,5.485,5.579,0.060,0.020,0.211,0.212,0.232,mod
11.435,12.960,15.771,9.726,8.945,0.044,0.044,0.032,0.364,0.212,mod
6.396,5.551,6.873,7.364,6.764,0.183,0.251,0.100,0.203,0.043,mod
