q1,q2,q3,q4,q5,mis1,mis2,mis3,mis4,mis5,sample,prediction,dist,ProbM,ProbU
7.8870000000000005,5.707000000000001,6.063,8.991,7.345,0.122,0.22899999999999998,0.273,0.06,0.008,mod,mod,-1.2914489483367921,0.769822077747581,0.23017792225241915
7.106,8.246,6.172000000000001,7.817,6.186,0.42,0.047,0.326,0.09300000000000001,0.252,mod,mod,-1.2558204511378355,0.7637665111704519,0.23623348882954814
4.343,4.352,5.494,7.077000000000001,8.979,0.507,0.298,0.02,0.038,0.017,mod,mod,-1.477436243343603,0.7996471123369123,0.20035288766308768
8.079,9.981,8.183,6.475,6.983,0.133,0.10800000000000001,0.198,0.11,0.08900000000000001,mod,mod,-0.5984910076063974,0.6322266887054278,0.36777331129457225
9.98,11.177,11.835,5.9510000000000005,5.977,0.134,0.068,0.071,0.115,0.418,mod,unm,0.5952271094638784,0.3539058878767022,0.6460941121232979
13.249,11.693,7.426,7.843999999999999,9.652000000000001,0.061,0.08800000000000001,0.22699999999999998,0.24600000000000002,0.059000000000000004,mod,mod,-0.8459292935719551,0.6865057006485649,0.3134942993514352
8.799,9.876,9.183,6.468999999999999,7.167000000000001,0.071,0.019,0.011000000000000001,0.171,0.09300000000000001,mod,mod,-0.271624052547522,0.5591233011117716,0.44087669888822856
12.992,12.142000000000001,10.095,10.703,6.596,0.018000000000000002,0.075,0.019,0.023,0.06,mod,unm,0.026478608047441732,0.48865035315884736,0.5113496468411526
11.008,6.114,6.377999999999999,6.87,8.686,0.08900000000000001,0.06,0.113,0.027999999999999997,0.078,mod,mod,-1.1884858598197203,0.7520245010493367,0.24797549895066306
8.314,8.988999999999999,7.773,8.158999999999999,10.369000000000002,0.297,0.16899999999999998,0.136,0.135,0.134,mod,mod,-0.7325064579638072,0.6598998157685171,0.34010018423148297
7.614,5.496,6.095,5.322,6.96,0.149,0.015,0.064,0.102,0.07,mod,mod,-1.2809892070072797,0.7680556477848332,0.231944352215167
10.113,11.937000000000001,20.387999999999998,14.584000000000001,9.315,0.23199999999999998,0.065,0.001,0.009000000000000001,0.016,mod,unm,3.390920164803931,0.03753556954142998,0.9624644304585702
11.247,20.01,15.175,7.207000000000001,7.992999999999999,0.055999999999999994,0.013999999999999999,0.015,0.024,0.025,mod,unm,1.6869627321773928,0.1646029921055671,0.835397007894433
8.672,7.912000000000001,8.617,7.899,11.887,0.015,0.095,0.008,0.059000000000000004,0.057,mod,mod,-0.4566307494700359,0.6013700821352241,0.398629917864776
15.706,13.294,9.512,13.91,16.369,0.040999999999999995,0.057999999999999996,0.086,0.048,0.024,mod,mod,-0.16408482659176027,0.533870292893656,0.4661297071063441
9.847000000000001,10.189,11.96,16.482,14.142000000000001,0.105,0.037000000000000005,0.057999999999999996,0.015,0.026000000000000002,mod,unm,0.63608547817205,0.34867964817447533,0.6513203518255248
7.726,5.268,8.441,9.943999999999999,5.541,0.26,0.156,0.018000000000000002,0.013000000000000001,0.027000000000000003,mod,mod,-0.5141593306294387,0.6140672839911775,0.3859327160088225
15.068,16.247,17.782,20.526999999999997,15.998,0.055,0.08199999999999999,0.043,0.03,0.024,mod,unm,2.539104888232033,0.08050882259729751,0.9194911774027028
8.531,9.705,7.329,10.327,18.105,0.215,0.29,0.46799999999999997,0.191,0.015,mod,mod,-0.8776353847592295,0.6929549573527269,0.30704504264727306
6.122999999999999,6.795,8.795,9.498,10.204,0.145,0.14300000000000002,0.146,0.10400000000000001,0.09699999999999999,mod,mod,-0.3984484344650232,0.5882962794207273,0.4117037205792728
10.111,10.218,9.942,12.579,10.258,0.009000000000000001,0.067,0.273,0.141,0.018000000000000002,mod,mod,-0.023532033907101457,0.5,0.5
8.206,7.196000000000001,8.225,10.534,11.418,0.153,0.006999999999999999,0.011000000000000001,0.07400000000000001,0.006999999999999999,mod,mod,-0.5847625950286348,0.6293088337909414,0.3706911662090587
10.825,10.497,14.96,12.277000000000001,7.807,0.042,0.14,0.040999999999999995,0.023,0.564,mod,unm,1.616686333344803,0.1740160682581175,0.8259839317418827
14.202,6.705,8.386000000000001,6.653,6.403,0.135,0.147,0.005,0.091,0.41600000000000004,mod,mod,-0.5321370161371268,0.617984956984187,0.3820150430158131
8.064,7.522,10.720999999999998,11.283,16.871,0.085,0.10800000000000001,0.006,0.062,0.032,mod,unm,0.23109732772351865,0.4402004640465057,0.5597995359534943
8.51,7.68,8.064,10.788,11.718,0.05,0.522,0.39299999999999996,0.032,0.166,mod,mod,-0.6373881752127479,0.6404108527568584,0.35958914724314167
8.33,8.667,5.539,5.787000000000001,5.273,0.099,0.152,0.109,0.307,0.473,mod,mod,-1.462727233106448,0.7973977889053704,0.20260221109462945
7.721,9.363,6.252000000000001,6.482,5.727,0.23399999999999999,0.05,0.235,0.10300000000000001,0.25,mod,mod,-1.2296710973644158,0.7592525716875953,0.24074742831240487
8.446,9.376,8.058,8.008,5.187,0.102,0.002,0.005,0.023,0.244,mod,mod,-0.6393493761376012,0.640820222021545,0.3591797779784549
11.212,9.806000000000001,10.384,5.984,7.972,0.028999999999999998,0.048,0.021,0.040999999999999995,0.083,mod,unm,0.120943160444825,0.4662413875056194,0.5337586124943805
10.017999999999999,6.392,9.673,12.172,7.046,0.305,0.095,0.024,0.012,0.017,mod,mod,-0.11145924469495494,0.5214119239161437,0.4785880760838564
13.505999999999998,15.979000000000001,10.999,11.431,8.47,0.017,0.013000000000000001,0.469,0.019,0.047,mod,unm,0.3219663329712441,0.4187697699001324,0.5812302300998675
6.106,6.249,5.971,6.218,5.662000000000001,0.031,0.027000000000000003,0.126,0.021,0.023,mod,mod,-1.3215207114398728,0.7748478789688469,0.22515212103115315
7.171,6.22,7.744,7.115,6.695,0.113,0.27,0.19399999999999998,0.249,0.389,mod,mod,-0.7419855997844982,0.6618011466848844,0.3381988533151157
7.822,6.266,7.867000000000001,7.354,6.792000000000001,0.154,0.145,0.3,0.14400000000000002,0.253,mod,mod,-0.7017809620467395,0.6536860721657141,0.346313927834286
13.74,9.738999999999999,9.656,10.970999999999998,10.09,0.013000000000000001,0.040999999999999995,0.12,0.026000000000000002,0.244,mod,mod,-0.11701598295552085,0.522729368274766,0.4772706317252342
8.095,7.216,7.907,7.82,10.049,0.077,0.135,0.18,0.18100000000000002,0.052000000000000005,mod,mod,-0.688706286076779,0.6510183029318852,0.3489816970681147
